,count,unique,top,freq,mean,std,min,25%,50%,75%,max
BsmtFin SF 1,2929.0,,,,442.6295664049164,455.5908390911526,0.0,0.0,370.0,734.0,5644.0
BsmtFin Type 2,2849,6,Unf,2499,,,,,,,
BsmtFin SF 2,2929.0,,,,49.72243086377603,169.16847559158177,0.0,0.0,0.0,0.0,1526.0
Bsmt Unf SF,2929.0,,,,559.2625469443497,439.49415280392384,0.0,219.0,466.0,802.0,2336.0
Total Bsmt SF,2929.0,,,,1051.6145442130419,440.61506696179697,0.0,793.0,990.0,1302.0,6110.0
Heating,2930,6,GasA,2885,,,,,,,
Heating QC,2930,5,Ex,1495,,,,,,,
Central Air,2930,2,Y,2734,,,,,,,
Electrical,2929,5,SBrkr,2682,,,,,,,
1st Flr SF,2930.0,,,,1159.5576791808874,391.89088525349194,334.0,876.25,1084.0,1384.0,5095.0
2nd Flr SF,2930.0,,,,335.45597269624574,428.39571500882624,0.0,0.0,0.0,703.75,2065.0
Low Qual Fin SF,2930.0,,,,4.67679180887372,46.3105100344704,0.0,0.0,0.0,0.0,1064.0
Gr Liv Area,2930.0,,,,1499.6904436860068,505.508887472041,334.0,1126.0,1442.0,1742.75,5642.0
Bsmt Full Bath,2928.0,,,,0.43135245901639346,0.5248201879465192,0.0,0.0,0.0,1.0,3.0
Bsmt Half Bath,2928.0,,,,0.061133879781420764,0.2452535662517102,0.0,0.0,0.0,0.0,2.0
Full Bath,2930.0,,,,1.5665529010238908,0.5529406116455408,0.0,1.0,2.0,2.0,4.0
Half Bath,2930.0,,,,0.3795221843003413,0.5026292533151646,0.0,0.0,0.0,1.0,2.0
Bedroom AbvGr,2930.0,,,,2.8542662116040955,0.8277311419853731,0.0,2.0,3.0,3.0,8.0
Kitchen AbvGr,2930.0,,,,1.0443686006825939,0.2140762443917087,0.0,1.0,1.0,1.0,3.0
Kitchen Qual,2930,5,TA,1494,,,,,,,
TotRms AbvGrd,2930.0,,,,6.443003412969284,1.572964396334462,2.0,5.0,6.0,7.0,15.0
Functional,2930,8,Typ,2728,,,,,,,
Fireplaces,2930.0,,,,0.5993174061433447,0.647920916551218,0.0,0.0,1.0,1.0,4.0
Fireplace Qu,1508,5,Gd,744,,,,,,,
Garage Type,2773,6,Attchd,1731,,,,,,,
Garage Yr Blt,2771.0,,,,1978.1324431613136,25.52841125092427,1895.0,1960.0,1979.0,2002.0,2207.0
Garage Finish,2771,3,Unf,1231,,,,,,,
Garage Cars,2929.0,,,,1.7668146124957322,0.7605663649343575,0.0,1.0,2.0,2.0,5.0
Garage Area,2929.0,,,,472.8197336975077,215.04654854103083,0.0,320.0,480.0,576.0,1488.0
Garage Qual,2771,5,TA,2615,,,,,,,
Garage Cond,2771,5,TA,2665,,,,,,,
Paved Drive,2930,3,Y,2652,,,,,,,
Wood Deck SF,2930.0,,,,93.75187713310581,126.36156187890577,0.0,0.0,0.0,168.0,1424.0
Open Porch SF,2930.0,,,,47.53344709897611,67.48340013677367,0.0,0.0,27.0,70.0,742.0
Enclosed Porch,2930.0,,,,23.01160409556314,64.13905920864133,0.0,0.0,0.0,0.0,1012.0
3Ssn Porch,2930.0,,,,2.592491467576792,25.141331031869438,0.0,0.0,0.0,0.0,508.0
Screen Porch,2930.0,,,,16.002047781569967,56.08737022943253,0.0,0.0,0.0,0.0,576.0
Pool Area,2930.0,,,,2.243344709897611,35.597180615097685,0.0,0.0,0.0,0.0,800.0
Pool QC,13,4,Ex,4,,,,,,,
Fence,572,4,MnPrv,330,,,,,,,
Misc Feature,106,5,Shed,95,,,,,,,
Misc Val,2930.0,,,,50.63515358361775,566.3442882590892,0.0,0.0,0.0,0.0,17000.0
Mo Sold,2930.0,,,,6.216040955631399,2.714492425430169,1.0,4.0,6.0,8.0,12.0
Yr Sold,2930.0,,,,2007.790443686007,1.3166129226105308,2006.0,2007.0,2008.0,2009.0,2010.0
Sale Type,2930,10,WD ,2536,,,,,,,
Sale Condition,2930,6,Normal,2413,,,,,,,
SalePrice,2930.0,,,,180796.0600682594,79886.692356665,12789.0,129500.0,160000.0,213500.0,755000.0
